_id,cam_id,entry_count,timestamp
ObjectId(5ba9da37f15cbb1dcd8c15ac),205,3,2018-09-25 06:48:23
ObjectId(5ba9da44f15cbb1dcd8c15b0),209,2,2018-09-25 06:48:36
ObjectId(5ba9db28f15cbb1dcd8c15f1),169,1,2018-09-25 06:52:24
ObjectId(5ba9db4ff15cbb1dcd8c15f9),180,1,2018-09-25 06:53:03
ObjectId(5ba9db91f15cbb1dcd8c160c),201,2,2018-09-25 06:54:09
ObjectId(5ba9db95f15cbb1dcd8c160d),202,2,2018-09-25 06:54:13
ObjectId(5ba9db98f15cbb1dcd8c160e),203,4,2018-09-25 06:54:16
ObjectId(5ba9db9cf15cbb1dcd8c160f),204,1,2018-09-25 06:54:20
ObjectId(5ba9dbacf15cbb1dcd8c1614),209,1,2018-09-25 06:54:36
ObjectId(5ba9dc73f15cbb1dcd8c1655),169,1,2018-09-25 06:57:55
ObjectId(5ba9dcf7f15cbb1dcd8c1670),201,2,2018-09-25 07:00:07
ObjectId(5ba9dd02f15cbb1dcd8c1672),203,5,2018-09-25 07:00:18
ObjectId(5ba9dd1bf15cbb1dcd8c1677),208,1,2018-09-25 07:00:43
ObjectId(5ba9de86f15cbb1dcd8c16d5),201,6,2018-09-25 07:06:46
ObjectId(5ba9de8ef15cbb1dcd8c16d7),203,2,2018-09-25 07:06:54
ObjectId(5ba9dea1f15cbb1dcd8c16dc),208,1,2018-09-25 07:07:13
ObjectId(5ba9dea8f15cbb1dcd8c16de),210,1,2018-09-25 07:07:20
ObjectId(5ba9dfdef15cbb1dcd8c1739),200,1,2018-09-25 07:12:30
ObjectId(5ba9dfe2f15cbb1dcd8c173a),201,1,2018-09-25 07:12:34
ObjectId(5ba9dff6f15cbb1dcd8c1740),207,1,2018-09-25 07:12:54
ObjectId(5ba9dffff15cbb1dcd8c1743),210,1,2018-09-25 07:13:03
ObjectId(5ba9e11ef15cbb1dcd8c17a1),202,1,2018-09-25 07:17:50
ObjectId(5ba9e121f15cbb1dcd8c17a2),203,1,2018-09-25 07:17:53
ObjectId(5ba9e25ff15cbb1dcd8c17f2),179,1,2018-09-25 07:23:11
ObjectId(5ba9e29ef15cbb1dcd8c1806),201,4,2018-09-25 07:24:14
ObjectId(5ba9e2a1f15cbb1dcd8c1807),202,1,2018-09-25 07:24:17
ObjectId(5ba9e2a4f15cbb1dcd8c1808),203,2,2018-09-25 07:24:20
ObjectId(5ba9e2b5f15cbb1dcd8c180d),208,1,2018-09-25 07:24:37
ObjectId(5ba9e2b8f15cbb1dcd8c180e),209,1,2018-09-25 07:24:40
ObjectId(5ba9e2bcf15cbb1dcd8c180f),210,1,2018-09-25 07:24:44
ObjectId(5ba9e3c5f15cbb1dcd8c1858),179,2,2018-09-25 07:29:09
ObjectId(5ba9e3caf15cbb1dcd8c1859),180,2,2018-09-25 07:29:14
ObjectId(5ba9e41df15cbb1dcd8c186d),202,1,2018-09-25 07:30:37
ObjectId(5ba9e437f15cbb1dcd8c1873),208,5,2018-09-25 07:31:03
ObjectId(5ba9e585f15cbb1dcd8c18bf),180,2,2018-09-25 07:36:37
ObjectId(5ba9e5d1f15cbb1dcd8c18d1),200,3,2018-09-25 07:37:53
ObjectId(5ba9e5d6f15cbb1dcd8c18d2),201,3,2018-09-25 07:37:58
ObjectId(5ba9e5daf15cbb1dcd8c18d3),202,1,2018-09-25 07:38:02
ObjectId(5ba9e5dff15cbb1dcd8c18d4),203,3,2018-09-25 07:38:07
ObjectId(5ba9e5e3f15cbb1dcd8c18d5),204,1,2018-09-25 07:38:11
ObjectId(5ba9e5f4f15cbb1dcd8c18d9),208,3,2018-09-25 07:38:28
ObjectId(5ba9e5fdf15cbb1dcd8c18db),210,1,2018-09-25 07:38:37
ObjectId(5ba9e77df15cbb1dcd8c1937),200,2,2018-09-25 07:45:01
ObjectId(5ba9e781f15cbb1dcd8c1938),201,2,2018-09-25 07:45:05
ObjectId(5ba9e78ff15cbb1dcd8c193b),204,1,2018-09-25 07:45:19
ObjectId(5ba9e7a4f15cbb1dcd8c1940),209,1,2018-09-25 07:45:40
ObjectId(5ba9e87ff15cbb1dcd8c1982),169,1,2018-09-25 07:49:19
ObjectId(5ba9e89ef15cbb1dcd8c198a),179,6,2018-09-25 07:49:50
ObjectId(5ba9e8a1f15cbb1dcd8c198b),180,2,2018-09-25 07:49:53
ObjectId(5ba9e8d9f15cbb1dcd8c199e),201,2,2018-09-25 07:50:49
ObjectId(5ba9e8e2f15cbb1dcd8c19a1),204,1,2018-09-25 07:50:58
ObjectId(5ba9e8e5f15cbb1dcd8c19a2),205,2,2018-09-25 07:51:01
ObjectId(5ba9e9f2f15cbb1dcd8c1a03),200,3,2018-09-25 07:55:30
ObjectId(5ba9e9fdf15cbb1dcd8c1a07),204,1,2018-09-25 07:55:41
ObjectId(5ba9ea04f15cbb1dcd8c1a0a),207,2,2018-09-25 07:55:48
ObjectId(5ba9ea09f15cbb1dcd8c1a0c),209,1,2018-09-25 07:55:53
ObjectId(5ba9ea0bf15cbb1dcd8c1a0d),210,1,2018-09-25 07:55:55
ObjectId(5ba9eacdf15cbb1dcd8c1a56),179,1,2018-09-25 07:59:09
ObjectId(5ba9eb01f15cbb1dcd8c1a6a),201,2,2018-09-25 08:00:01
ObjectId(5ba9eb04f15cbb1dcd8c1a6b),202,4,2018-09-25 08:00:04
ObjectId(5ba9eb10f15cbb1dcd8c1a70),207,1,2018-09-25 08:00:16
ObjectId(5ba9ebbbf15cbb1dcd8c1ab5),170,2,2018-09-25 08:03:07
ObjectId(5ba9ebd5f15cbb1dcd8c1abc),179,2,2018-09-25 08:03:33
ObjectId(5ba9ec09f15cbb1dcd8c1ad0),201,1,2018-09-25 08:04:25
ObjectId(5ba9ec0ff15cbb1dcd8c1ad2),203,1,2018-09-25 08:04:31
ObjectId(5ba9ec11f15cbb1dcd8c1ad3),204,1,2018-09-25 08:04:33
ObjectId(5ba9ec18f15cbb1dcd8c1ad6),207,3,2018-09-25 08:04:40
ObjectId(5ba9ec1bf15cbb1dcd8c1ad7),208,1,2018-09-25 08:04:43
